"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131068","b3178","NP_417645.1","protease, ATP-dependent zinc-metallo","57945","Pseudomonas aeruginosa PAO1","15599945","PA4751","NP_253439.1","cell division protein FtsH","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128101","b0108","NP_414650.1","predicted major pilin subunit","57945","Pseudomonas aeruginosa PAO1","15599721","PA4525","NP_253215.1","type 4 fimbrial precursor PilA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128270","b0285","NP_414819.1","PaoABC aldehyde oxidoreductase, FAD-containing subunit","57945","Pseudomonas aeruginosa PAO1","15597128","PA1932","NP_250622.1","hydroxylase molybdopterin-containing subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129859","b1912","NP_416422.1","phosphatidylglycerophosphate synthetase","57945","Pseudomonas aeruginosa PAO1","15597780","PA2584","NP_251274.1","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128406","b0421","NP_414955.1","geranyltranstransferase","57945","Pseudomonas aeruginosa PAO1","15599238","PA4043","NP_252732.1","geranyltranstransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128421","b0436","NP_414970.1","peptidyl-prolyl cis/trans isomerase (trigger factor)","57945","Pseudomonas aeruginosa PAO1","15596997","PA1800","NP_250491.1","trigger factor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130515","b2594","NP_417085.1","23S rRNA pseudouridine synthase; specific to U1911, U1915, and U1917","57945","Pseudomonas aeruginosa PAO1","15599740","PA4544","NP_253234.1","pseudouridine synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129020","b1057","NP_415575.1","predicted cytochrome b561","57945","Pseudomonas aeruginosa PAO1","15595619","PA0422","NP_249113.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130921","b3025","NP_417497.1","quorum sensing DNA-binding response regulator in two-component regulatory system with QseC","57945","Pseudomonas aeruginosa PAO1","15599970","PA4776","NP_253464.1","PmrA: two-component regulator system response regulator PmrA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129175","b1212","NP_415730.1","N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2","57945","Pseudomonas aeruginosa PAO1","15599859","PA4664","NP_253353.1","methyl transferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131211","b3332","NP_417791.1","general secretory pathway component, cryptic","57945","Pseudomonas aeruginosa PAO1","15598293","PA3097","NP_251787.1","general secretion pathway protein K","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130362","b2437","NP_416932.1","eut operon transcriptional activator, AraC family","57945","Pseudomonas aeruginosa PAO1","15597707","PA2511","NP_251201.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131817","b3987","NP_418414.1","RNA polymerase, beta subunit","57945","Pseudomonas aeruginosa PAO1","15599466","PA4270","NP_252960.1","DNA-directed RNA polymerase subunit beta","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111235","b1206","NP_415724.2","predicted transporter","57945","Pseudomonas aeruginosa PAO1","15597759","PA2563","NP_251253.1","sulfate transporter","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128068","b0074","NP_414616.1","2-isopropylmalate synthase","57945","Pseudomonas aeruginosa PAO1","15596414","PA1217","NP_249908.1","2-isopropylmalate synthase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128835","b0867","NP_415388.1","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein","57945","Pseudomonas aeruginosa PAO1","15600678","PA5485","NP_254172.1","AmpDh2","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111666","b3910","NP_418346.2","6-N-hydroxylaminopurine resistance protein","57945","Pseudomonas aeruginosa PAO1","15597425","PA2229","NP_250919.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111666","b3910","NP_418346.2","6-N-hydroxylaminopurine resistance protein","57945","Pseudomonas aeruginosa PAO1","15595726","PA0529","NP_249220.1","hypothetical protein","1","","PA2229[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131418","b3547","NP_418003.1","Inner membrane protein, predicted oxalate-formate antiporter","57945","Pseudomonas aeruginosa PAO1","15596483","PA1286","NP_249977.1","major facilitator superfamily (MFS) transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130920","b3024","NP_417496.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15595517","PA0320","NP_249011.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129561","b1603","NP_416120.1","pyridine nucleotide transhydrogenase, alpha subunit","57945","Pseudomonas aeruginosa PAO1","15600764","PA0195","NP_248885.1","NAD(P) transhydrogenase, subunit alpha part 1","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132191","b4373","NP_418790.1","ribosomal-protein-S18-alanine N-acetyltransferase","57945","Pseudomonas aeruginosa PAO1","15599873","PA4678","NP_253367.1","peptide n-acetyltransferase RimI","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129698","b1744","NP_416258.1","succinylglutamate desuccinylase","57945","Pseudomonas aeruginosa PAO1","15596098","PA0901","NP_249592.1","succinylglutamate desuccinylase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130418","b2493","NP_416988.1","predicted inner membrane permease, UPF0118 family","57945","Pseudomonas aeruginosa PAO1","15596204","PA1007","NP_249698.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128735","b0767","NP_415288.1","6-phosphogluconolactonase","57945","Pseudomonas aeruginosa PAO1","15599399","PA4204","NP_252893.1","periplasmic gluconolactonase, PpgL","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131038","b3146","NP_417615.1","16S rRNA C1402 ribose 2'-O-methyltransferase, SAM-dependent","57945","Pseudomonas aeruginosa PAO1","15599618","PA4422","NP_253112.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129659","b1703","NP_416218.1","bifunctional regulatory protein: PEP synthase kinase and PEP synthase pyrophosphorylase","57945","Pseudomonas aeruginosa PAO1","15596966","PA1769","NP_250460.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129757","b1803","NP_416317.1","predicted oxidoreductase","57945","Pseudomonas aeruginosa PAO1","15598694","PA3498","NP_252188.1","oxidoreductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129757","b1803","NP_416317.1","predicted oxidoreductase","57945","Pseudomonas aeruginosa PAO1","15600098","PA4905","NP_253592.1","vanillate O-demethylase oxidoreductase","1","","PA3498[oxidoreductase]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111178","b0868","NP_415389.2","predicted NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain","57945","Pseudomonas aeruginosa PAO1","15599557","PA4361","NP_253051.1","oxidoreductase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","162135905","b2134","NP_416638.4","D-alanyl-D-alanine endopeptidase","57945","Pseudomonas aeruginosa PAO1","15596066","PA0869","NP_249560.1","D-alanyl-D-alanine endopeptidase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131799","b3961","NP_418396.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15600537","PA5344","NP_254031.1","OxyR","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131888","b4062","NP_418486.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15599093","PA3898","NP_252587.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132213","b4396","NP_418813.1","right oriC-binding transcriptional activator, AraC family","57945","Pseudomonas aeruginosa PAO1","15599093","PA3898","NP_252587.1","transcriptional regulator","1","b4062[DNA-binding transcriptional dual regulator]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698340","b4049","NP_418473.2","tRNA-dihydrouridine synthase A","57945","Pseudomonas aeruginosa PAO1","15597991","PA2795","NP_251485.1","tRNA-dihydrouridine synthase A","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131388","b3516","NP_417973.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15598411","PA3215","NP_251905.1","transcriptional regulator","4","","PA2096[transcriptional regulator];PA5324[transcriptional regulator];PA2227[AraC family transcriptional regulator];PA0306[transcriptional regulator]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131388","b3516","NP_417973.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15597292","PA2096","NP_250786.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131388","b3516","NP_417973.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15600517","PA5324","NP_254011.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131388","b3516","NP_417973.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15597423","PA2227","NP_250917.1","AraC family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131388","b3516","NP_417973.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15595503","PA0306","NP_248997.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111437","b2441","NP_416936.4","ethanolamine ammonia-lyase, large subunit, heavy chain","57945","Pseudomonas aeruginosa PAO1","15599219","PA4024","NP_252713.1","ethanolamine ammonia-lyase large subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128849","b0881","NP_415402.1","regulatory protein for ClpA substrate specificity","57945","Pseudomonas aeruginosa PAO1","308154504","PA2621","NP_251311.3","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128737","b0769","NP_415290.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15595990","PA0793","NP_249484.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130658","b2751","NP_417231.1","sulfate adenylyltransferase, subunit 1","57945","Pseudomonas aeruginosa PAO1","15599638","PA4442","NP_253132.1","bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129126","b1163","NP_415681.1","anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP","57945","Pseudomonas aeruginosa PAO1","15598454","PA3258","NP_251948.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131075","b3185","NP_417652.1","50S ribosomal subunit protein L27","57945","Pseudomonas aeruginosa PAO1","15599763","PA4567","NP_253257.1","50S ribosomal protein L27","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130062","b2124","NP_416628.1","conserved protein, DUF1456 family","57945","Pseudomonas aeruginosa PAO1","15596112","PA0915","NP_249606.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176025","b0453","NP_414987.3","outer membrane lipoprotein","57945","Pseudomonas aeruginosa PAO1","15598870","PA3674","NP_252364.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128319","b0334","NP_414868.1","2-methylcitrate dehydratase","57945","Pseudomonas aeruginosa PAO1","15595989","PA0792","NP_249483.1","2-methylcitrate dehydratase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130320","b2388","NP_416889.1","glucokinase","57945","Pseudomonas aeruginosa PAO1","15598389","PA3193","NP_251883.1","glucokinase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131709","b3869","NP_418305.1","sensory histidine kinase in two-component regulatory system with GlnG","57945","Pseudomonas aeruginosa PAO1","15600317","PA5124","NP_253811.1","two-component sensor NtrB","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130222","b2287","NP_416790.1","NADH:ubiquinone oxidoreductase, chain B","57945","Pseudomonas aeruginosa PAO1","15597834","PA2638","NP_251328.1","NADH dehydrogenase subunit B","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128149","b0156","NP_414698.1","iron-sulfur cluster insertion protein","57945","Pseudomonas aeruginosa PAO1","15595862","PA0665","NP_249356.1","iron-sulfur cluster insertion protein ErpA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128780","b0812","NP_415333.1","Fe-binding and storage protein","57945","Pseudomonas aeruginosa PAO1","15596159","PA0962","NP_249653.1","dna-binding stress protein","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131765","b3927","NP_418362.1","glycerol facilitator","57945","Pseudomonas aeruginosa PAO1","15598777","PA3581","NP_252271.1","glycerol uptake facilitator protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128879","b0912","NP_415432.1","integration host factor (IHF), DNA-binding protein, beta subunit","57945","Pseudomonas aeruginosa PAO1","15598357","PA3161","NP_251851.1","integration host factor subunit beta","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111535","b3084","NP_417555.4","23S rRNA mG1835 methyltransferase, SAM-dependent","57945","Pseudomonas aeruginosa PAO1","15599813","PA4617","NP_253307.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128460","b0476","NP_415009.1","acetyl esterase","57945","Pseudomonas aeruginosa PAO1","15600577","PA5384","NP_254071.1","lipolytic enzyme","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131807","b3973","NP_418404.1","bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding","57945","Pseudomonas aeruginosa PAO1","15599476","PA4280","NP_252970.1","biotin--protein ligase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131052","b3160","NP_417629.1","predicted enzyme","57945","Pseudomonas aeruginosa PAO1","15597679","PA2483","NP_251173.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130438","b2513","NP_417008.1","conserved protein, UPF0070 family","57945","Pseudomonas aeruginosa PAO1","15598996","PA3801","NP_252490.1","hypothetical protein","","","","SSD"
